Category,2001,2011
India,927,918
Andhra Pradesh,961,939
Arunachal Pradesh,964,972
Assam,965,962
Bihar,942,935
Chhattisgarh,975,969
Goa,938,942
Gujarat,883,890
Haryana,819,834
Himachal Pradesh,896,909
Jammu & Kashmir,941,862
Jharkhand,965,948
Karnataka,946,948
Kerala,960,964
Madhya Pradesh,932,918
Maharashtra,913,894
Manipur,957,930
Meghalaya,973,970
Mizoram,964,970
Nagaland,964,943
Odisha,953,941
Punjab,798,846
Rajasthan,909,888
Sikkim,963,957
Tamil Nadu,942,943
Telangana,NaN,NaN
Tripura,966,957
Uttar Pradesh,916,902
Uttarakhand,908,890
West Bengal,960,956
A & N Islands,957,968
Chandigarh,845,880
D & N Haveli,979,926
Daman & Diu,926,904
Lakshadweep,959,911
NCT of Delhi,868,871
Puducherry,967,967
