Category,2001,2011
India,906,905
Andhra Pradesh,955,935
Arunachal Pradesh,980,957
Assam,943,944
Bihar,924,912
Chhattisgarh,938,937
Goa,924,940
Gujarat,837,852
Haryana,808,832
Himachal Pradesh,844,881
Jammu & Kashmir,873,850
Jharkhand,930,908
Karnataka,940,946
Kerala,958,963
Madhya Pradesh,907,901
Maharashtra,908,899
Manipur,961,949
Meghalaya,969,954
Mizoram,963,974
Nagaland,939,973
Odisha,933,913
Punjab,796,852
Rajasthan,887,874
Sikkim,922,934
Tamil Nadu,955,952
Telangana,NaN,NaN
Tripura,948,947
Uttar Pradesh,890,885
Uttarakhand,872,868
West Bengal,948,947
A & N Islands,936,954
Chandigarh,845,880
D & N Haveli,888,872
Daman & Diu,943,894
Lakshadweep,900,911
NCT of Delhi,870,873
Puducherry,967,975
