Category,1991-01,2001-11
India,19.2,12.3
Andhra Pradesh,13.9,1.7
Arunachal Pradesh,15.4,22.6
Assam,16.5,15.5
Bihar,28.5,24.3
Chhattisgarh,14.4,17.8
Goa,-1.9,-18.5
Gujarat,17.3,9.3
Haryana,21.1,9.8
Himachal Pradesh,16.1,12.7
Jammu & Kashmir,26.2,19.4
Jharkhand,21.8,19.6
Karnataka,12.3,7.4
Kerala,10.1,-25.9
Madhya Pradesh,22.3,18.4
Maharashtra,15.3,10.4
Manipur,29,17.7
Meghalaya,29.1,27.2
Mizoram,20.4,17.4
Nagaland,64.5,-14.6
Odisha,14.1,11.8
Punjab,12.7,7.8
Rajasthan,27.6,19
Sikkim,30.2,-5
Tamil Nadu,-5.1,6.6
Telangana,NaN,NaN
Tripura,13.6,2.2
Uttar Pradesh,24.1,18
Uttarakhand,16.5,11.5
West Bengal,17,7.7
A & N Islands,16.6,-1.2
Chandigarh,39.2,-68.5
D & N Haveli,34.1,7.7
Daman & Diu,86.6,-40.1
Lakshadweep,49.1,-58
NCT of Delhi,-0.5,-55.6
Puducherry,12,21.3
