Category,1991-01,2001-11
India,21.5,17.7
Andhra Pradesh,14.6,11
Arunachal Pradesh,27,26
Assam,18.9,17.1
Bihar,28.6,25.4
Chhattisgarh,18.3,22.6
Goa,15.2,8.2
Gujarat,22.7,19.3
Haryana,28.4,19.9
Himachal Pradesh,17.5,12.9
Jammu & Kashmir,29.4,23.6
Jharkhand,23.4,22.4
Karnataka,17.5,15.6
Kerala,9.4,4.9
Madhya Pradesh,24.3,20.3
Maharashtra,22.7,16
Manipur,24.9,24.5
Meghalaya,30.7,27.9
Mizoram,28.8,23.5
Nagaland,64.5,-0.6
Odisha,16.3,14
Punjab,20.1,13.9
Rajasthan,28.4,21.3
Sikkim,33.1,12.9
Tamil Nadu,11.7,15.6
Telangana,NaN,NaN
Tripura,16,14.8
Uttar Pradesh,25.8,20.2
Uttarakhand,20.4,18.8
West Bengal,17.8,13.8
A & N Islands,26.9,6.9
Chandigarh,40.3,17.2
D & N Haveli,59.2,55.9
Daman & Diu,55.7,53.8
Lakshadweep,17.3,6.3
NCT of Delhi,47,21.2
Puducherry,20.6,28.1
