Category,1991-01,2001-11
India,32.6,31.8
Andhra Pradesh,16.3,35.6
Arunachal Pradesh,106,39.3
Assam,38.2,27.9
Bihar,29.4,35.4
Chhattisgarh,36.6,41.8
Goa,39.8,35.2
Gujarat,32.9,36
Haryana,50.8,44.6
Himachal Pradesh,32.6,15.6
Jammu & Kashmir,40.3,36.4
Jharkhand,29.1,32.4
Karnataka,29.1,31.5
Kerala,7.6,92.8
Madhya Pradesh,30.1,25.7
Maharashtra,34.6,23.6
Manipur,13.9,44.8
Meghalaya,37.6,31.1
Mizoram,38.7,29.7
Nagaland,64.6,66.6
Odisha,30.3,26.9
Punjab,37.9,25.9
Rajasthan,31.3,29
Sikkim,61.8,156.5
Tamil Nadu,44.1,27
Telangana,NaN,NaN
Tripura,29.4,76.2
Uttar Pradesh,33,28.8
Uttarakhand,33.4,39.9
West Bengal,19.9,29.7
A & N Islands,55,23.5
Chandigarh,40.4,27
D & N Haveli,330.4,218.2
Daman & Diu,20.6,218.8
Lakshadweep,-7.4,86.6
NCT of Delhi,52.3,26.8
Puducherry,25.5,31.5
