Category,2001,2011
India,946,949
Andhra Pradesh,983,996
Arunachal Pradesh,914,953
Assam,944,960
Bihar,926,921
Chhattisgarh,1004,1001
Goa,988,1003
Gujarat,945,949
Haryana,866,882
Himachal Pradesh,989,986
Jammu & Kashmir,917,908
Jharkhand,962,961
Karnataka,977,979
Kerala,1059,1078
Madhya Pradesh,927,936
Maharashtra,960,952
Manipur,967,969
Meghalaya,969,986
Mizoram,923,952
Nagaland,916,940
Odisha,987,989
Punjab,890,907
Rajasthan,930,933
Sikkim,880,882
Tamil Nadu,992,993
Telangana,NaN,NaN
Tripura,946,955
Uttar Pradesh,904,918
Uttarakhand,1007,1000
West Bengal,950,953
A & N Islands,861,877
Chandigarh,621,690
D & N Haveli,852,863
Daman & Diu,586,864
Lakshadweep,959,952
NCT of Delhi,810,852
Puducherry,990,1028
