Category,2001,2011
India,933,943
Andhra Pradesh,978,993
Arunachal Pradesh,893,938
Assam,935,958
Bihar,919,918
Chhattisgarh,989,991
Goa,961,973
Gujarat,920,919
Haryana,861,879
Himachal Pradesh,968,972
Jammu & Kashmir,892,889
Jharkhand,941,948
Karnataka,965,973
Kerala,1058,1084
Madhya Pradesh,919,931
Maharashtra,922,929
Manipur,978,985
Meghalaya,972,989
Mizoram,935,976
Nagaland,900,931
Odisha,972,979
Punjab,876,895
Rajasthan,921,928
Sikkim,875,890
Tamil Nadu,987,996
Telangana,NaN,NaN
Tripura,948,960
Uttar Pradesh,898,912
Uttarakhand,962,963
West Bengal,934,950
A & N Islands,846,876
Chandigarh,777,818
D & N Haveli,812,774
Daman & Diu,710,618
Lakshadweep,948,946
NCT of Delhi,821,868
Puducherry,1001,1037
