Category,2001,2011
India,900,929
Andhra Pradesh,965,987
Arunachal Pradesh,819,890
Assam,872,946
Bihar,868,895
Chhattisgarh,932,956
Goa,934,956
Gujarat,880,880
Haryana,847,873
Himachal Pradesh,795,853
Jammu & Kashmir,819,840
Jharkhand,870,910
Karnataka,942,963
Kerala,1058,1091
Madhya Pradesh,898,918
Maharashtra,873,903
Manipur,1009,1026
Meghalaya,982,1001
Mizoram,948,998
Nagaland,829,908
Odisha,895,932
Punjab,849,875
Rajasthan,890,914
Sikkim,830,913
Tamil Nadu,982,1000
Telangana,NaN,NaN
Tripura,959,973
Uttar Pradesh,876,894
Uttarakhand,845,884
West Bengal,893,944
A & N Islands,815,874
Chandigarh,796,822
D & N Haveli,691,682
Daman & Diu,984,551
Lakshadweep,935,945
NCT of Delhi,822,868
Puducherry,1007,1042
