Category,2012-13,2013-14,2014-15,2015-16,2016-17
Andhra Pradesh ,8.43,12.85,13.4,15.85,14.65
Arunachal Pradesh,13.41,16.38,14.79,12.07,NaN
Assam,9.56,13.31,11.45,13.19,NaN
Bihar,14.25,12.3,17.92,10.59,NaN
Chhattisgarh,12.3,16.44,13.69,10.98,11.26
Goa,-10.02,-5.77,13.12,10.75,NaN
Gujarat,17.69,11.47,10.82,11.09,NaN
Haryana,16.63,15.45,9.18,10.91,12.82
Himachal Pradesh,13.89,14.42,10.14,NaN,NaN
Jammu & Kashmir,11.31,10.09,4.7,17.91,NaN
Jharkhand,15.77,7.92,15.14,11.44,NaN
Karnataka,14.56,18.24,12.7,11.42,NaN
Kerala,13.26,12.79,13.11,11.85,NaN
Madhya Pradesh,20.71,14.91,10.11,12.86,17.74
Maharashtra,13.79,13.74,8.78,NaN,NaN
Manipur,6.45,17.83,11.39,NaN,NaN
Meghalaya,9.81,4.87,6.41,9.58,10.55
Mizoram,15.2,23.1,12.3,NaN,NaN
Nagaland,15.03,21.98,10.85,NaN,NaN
Odisha,13.34,12.95,10.37,6.19,10.85
Punjab,11.67,12.42,9.95,NaN,NaN
Rajasthan,13.18,11.27,11.37,NaN,NaN
Sikkim,10.51,12.35,9.72,9.39,NaN
Tamil Nadu,13.84,13.51,12.51,10.99,10.4
Telangana,11.7,12.63,13.05,12.61,13.67
Tripura,12.78,18.14,15.92,NaN,NaN
Uttar Pradesh,13.65,14.73,10.51,10.58,NaN
Uttarakhand,14.12,13.64,8.12,13.65,NaN
West Bengal1,NaN,NaN,NaN,NaN,NaN
Andaman & Nicobar Islands,11.13,16.68,10.89,NaN,NaN
Chandigarh,15.14,14.71,12.33,8.84,NaN
Delhi,13.81,13.43,10.96,12.09,12.76
Puducherry,12.23,15.87,10.14,10.15,11.4
India,13.86,12.97,10.65,9.99,11.52
