Category,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
Andhra Pradesh ,379402,380629,407115,441741,490134,547021
Arunachal Pradesh,11063,11299,12348,13541,13963,NaN
Assam,143175,147342,154525,166709,179595,NaN
Bihar,247144,256851,269650,304766,326535,NaN
Chhattisgarh,158074,165937,182229,196023,209012,223932
Goa,42367,35850,31568,34611,37520,NaN
Gujarat,615606,682650,734284,791569,864314,NaN
Haryana,297539,320570,346799,366636,399646,434608
Himachal Pradesh,72720,77384,82847,89032,NaN,NaN
Jammu & Kashmir,78254,80515,85530,85267,95965,NaN
Jharkhand,150918,163250,165816,186491,209137,NaN
Karnataka,603778,641212,708623,760282,815545,NaN
Kerala,364048,387693,402781,432237,467243,NaN
Madhya Pradesh,315561,351461,364197,383994,414607,465212
Maharashtra,1272967,1357116,1441843,1524846,NaN,NaN
Manipur,12915,12985,14116,15030,NaN,NaN
Meghalaya,19918,20354,20726,21152,22507,24005
Mizoram,7259,7778,9038,9634,NaN,NaN
NaNgaland,11839,12442,13826,14115,NaN,NaN
Odisha,227872,238370,259179,274721,291227,314364
Punjab,266628,280823,298581,313276,NaN,NaN
Rajasthan,436465,454987,482605,512095,NaN,NaN
Sikkim,11165,11421,12114,12882,13722,NaN
Tamil Nadu,751485,787907,842182,900628,979816,1057592
Telangana,359433,369290,389882,423972,464389,511286
Tripura,19208,20873,22819,25086,NaN,NaN
Uttar Pradesh,724049,754928,803233,853872,914748,NaN
Uttarakhand,115524,123891,134089,140791,153041,NaN
West Bengal1,NaN,NaN,NaN,NaN,NaN,NaN
Andaman & Nicobar Islands,3979,4156,4502,4839,NaN,NaN
Chandigarh,18768,20265,21893,23920,26379,NaN
Delhi,343767,366538,391718,422920,460217,498217
Puducherry,16818,17310,19170,20428,22007,23656
India,8736039,9215125,9817822,10522686,11357529,12165481
