Category,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
Andhra Pradesh ,339996,370196,413164,469909,545638,620974
AruNaNNchal Pradesh,10229,11617,13398,15410,17229,NaN
Assam,129354,142039,160442,178479,201758,NaN
Bihar,228497,261327,292143,345571,382223,NaN
Chhattisgarh,142273,159431,185939,211016,233023,256346
Goa,38009,34567,32043,36290,40659,NaN
Gujarat,532809,634572,707456,789949,886092,NaN
HaryaNaNN,271152,314353,363590,395890,438140,494090
Himachal Pradesh,60536,69432,80129,88196,NaN,NaN
Jammu & Kashmir,67272,72963,79966,83217,98063,NaN
Jharkhand,137383,160304,172030,198386,223234,NaN
KarNaNNtaka,552720,632211,747788,843918,940006,NaN
Kerala,328021,371384,417265,473045,531126,NaN
Madhya Pradesh,282370,333936,391369,429896,483969,571934
Maharashtra,1119192,1271017,1450003,1572037,NaN,NaN
Manipur,11501,12193,14456,16189,NaN,NaN
Meghalaya,18028,19653,20415,21838,23936,26505
Mizoram,6404,7375,8989,10136,NaN,NaN
NaNNgaland,10217,11816,14545,16137,NaN,NaN
Odisha,201111,229888,256211,282322,300236,334067
Punjab,239227,267116,301673,332999,NaN,NaN
Rajasthan,396960,446835,497403,554783,NaN,NaN
Sikkim,9742,10817,12203,13318,14558,NaN
Tamil NaNNdu,674478,768951,861429,970953,1080461,1193578
TelangaNaNN,325138,363929,408887,462636,522412,593930
Tripura,17419,19631,23329,27484,NaN,NaN
Uttar Pradesh,645130,733505,837614,925437,1024222,NaN
Uttarakhand,102156,117264,132556,142628,162168,NaN
West Bengal1,NaN,NaN,NaN,NaN,NaN,NaN
Andaman & Nicobar Islands,3404,3793,4424,5025,NaN,NaN
Chandigarh,16930,19507,22290,25061,27341,NaN
Delhi,314619,357251,404664,447435,501104,565655
Puducherry,15160,16984,19778,21776,24220,27511
India,7818898,8886659,10041060,11108576,12242873,13653519
