Category,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
Andhra Pradesh ,339996,341335,360239,391373,434433,484930
AruNaNNchal Pradesh,10229,10399,11235,12323,12693,NaN
Assam,129354,132518,138725,149313,160724,NaN
Bihar,228497,236932,246915,279711,299814,NaN
Chhattisgarh,142273,148719,163187,175414,184693,198922
Goa,38009,32453,27971,30675,33584,NaN
Gujarat,532809,596659,641489,695974,761049,NaN
HaryaNaNN,271152,289414,314224,331413,361231,392729
Himachal Pradesh,60536,64519,69398,74572,NaN,NaN
Jammu & Kashmir,67272,67064,70950,69943,78775,NaN
Jharkhand,137383,149526,150609,169758,192404,NaN
KarNaNNtaka,552720,584730,644097,691676,741744,NaN
Kerala,328021,348616,364707,393702,426132,NaN
Madhya Pradesh,282370,306632,321660,337522,363224,408493
Maharashtra,1119192,1188885,1261944,1329308,NaN,NaN
Manipur,11501,11507,12521,13383,NaN,NaN
Meghalaya,18028,18323,18397,18728,19942,21275
Mizoram,6404,6836,7831,8348,NaN,NaN
NaNNgaland,10217,10737,11957,12124,NaN,NaN
Odisha,201111,211307,226410,239051,253296,273914
Punjab,239227,251813,268423,280902,NaN,NaN
Rajasthan,396960,410225,435163,461845,NaN,NaN
Sikkim,9742,9970,10590,11232,11948,NaN
Tamil NaNNdu,674478,705426,740623,790760,863423,933662
TelangaNaNN,325138,333674,349518,380514,416524,459504
Tripura,17419,18857,20623,22584,NaN,NaN
Uttar Pradesh,645130,670231,708210,753114,807104,NaN
Uttarakhand,102156,109961,118129,123341,134109,NaN
West Bengal1,NaN,NaN,NaN,NaN,NaN,NaN
Andaman & Nicobar Islands,3404,3557,3824,4214,NaN,NaN
Chandigarh,16930,18285,19622,21456,23729,NaN
Delhi,314619,334103,355337,382103,414964,448529
Puducherry,15160,15507,17239,18349,19927,21728
India,7818898,8205908,8718820,9337045,10080883,10803651
