Category,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17
Andhra Pradesh ,379402,411404,464272,526468,609934,699307
Arunachal Pradesh,11063,12547,14602,16761,18784,NaN
Assam,143175,156864,177745,198098,224234,NaN
Bihar,247144,282368,317101,373920,413503,NaN
Chhattisgarh,158074,177511,206690,234982,260776,290140
Goa,42367,38120,35921,40633,45002,NaN
Gujarat,615606,724495,807623,895027,994316,NaN
Haryana,297539,347032,400662,437462,485184,547396
Himachal Pradesh,72720,82820,94764,104369,NaN,NaN
Jammu & Kashmir,78254,87105,95893,100404,118387,NaN
Jharkhand,150918,174724,188567,217107,241955,NaN
Karnataka,603778,691700,817886,921788,1027068,NaN
Kerala,364048,412313,465041,526002,588337,NaN
Madhya Pradesh,315561,380924,437737,481982,543975,640484
Maharashtra,1272967,1448466,1647506,1792122,NaN,NaN
Manipur,12915,13748,16198,18043,NaN,NaN
Meghalaya,19918,21872,22938,24408,26745,29567
Mizoram,7259,8362,10293,11559,NaN,NaN
Nagaland,11839,13619,16612,18414,NaN,NaN
Odisha,227872,258275,291709,321971,341887,378991
Punjab,266628,297734,334714,368011,NaN,NaN
Rajasthan,436465,494004,549701,612194,NaN,NaN
Sikkim,11165,12338,13862,15209,16637,NaN
Tamil Nadu,751485,855481,971090,1092564,1212668,1338766
Telangana,359433,401493,452186,511178,575631,654294
Tripura,19208,21663,25593,29667,NaN,NaN
Uttar Pradesh,724049,822903,944146,1043371,1153795,NaN
Uttarakhand,115523,131835,149817,161985,184091,NaN
West Bengal1,NaN,NaN,NaN,NaN,NaN,NaN
Andaman & Nicobar Islands,3979,4421,5159,5721,NaN,NaN
Chandigarh,18768,21609,24787,27844,30304,NaN
Delhi,343767,391238,443783,492424,551963,622385
Puducherry,16818,18875,21870,24089,26533,29557
India,8736039,9946636,11236635,12433749,13675331,15251028
