Category,2012-13,2013-14,2014-15,2015-16,2016-17
Andhra Pradesh ,8.88,11.61,13.73,16.12,13.81
AruNaNNNchal Pradesh,13.57,15.32,15.02,11.8,NaN
Assam,9.81,12.96,11.24,NaN,NaN
Bihar,14.37,11.79,18.29,10.61,NaN
Chhattisgarh,12.06,16.63,13.49,NaN,NaN
Goa,-9.05,-7.3,13.26,NaN,NaN
Gujarat,19.1,11.49,11.66,NaN,NaN
HaryaNaNNN,15.93,15.66,8.88,NaN,NaN
Himachal Pradesh,14.7,15.41,10.07,NaN,NaN
Jammu & Kashmir,8.46,9.6,4.07,NaN,NaN
Jharkhand,16.68,7.31,15.32,12.52,NaN
KarNaNNNtaka,14.38,18.28,12.86,11.39,NaN
Kerala,13.22,12.35,13.37,NaN,NaN
Madhya Pradesh,18.26,17.2,9.84,12.58,18.18
Maharashtra,13.57,14.08,8.42,NaN,NaN
Manipur,6.01,18.56,11.99,NaN,NaN
Meghalaya,9.01,3.88,6.97,9.61,10.73
Mizoram,15.17,21.88,12.76,NaN,NaN
NaNNNgaland,15.65,23.1,10.94,NaN,NaN
Odisha,14.31,11.45,10.19,6.35,11.27
Punjab,11.66,12.94,10.38,NaN,NaN
Rajasthan,12.56,11.32,11.54,NaN,NaN
Sikkim,11.03,12.82,9.14,9.31,NaN
Tamil NaNNNdu,14.01,12.03,12.71,11.28,10.47
TelangaNaNNN,11.93,12.35,13.15,12.92,13.69
Tripura,12.7,18.84,17.81,NaN,NaN
Uttar Pradesh,13.7,14.19,10.48,10.67,NaN
Uttarakhand,14.79,13.04,7.6,13.7,NaN
West Bengal1,NaN,NaN,NaN,NaN,NaN
Andaman & Nicobar Islands,11.44,16.64,13.56,NaN,NaN
Chandigarh,15.23,14.26,12.43,9.1,NaN
Delhi,13.55,13.27,10.57,11.99,12.88
Puducherry,12.04,16.45,10.1,11.23,13.58
India,13.65,12.99,10.63,10.21,11.52
