Category,2012-13,2013-14,2014-15
All India,NaN,1.54,NaN
Andaman & Nicobar Islands,14.14,15.87,16.93
Andhra Pradesh,0.35,11.79,NaN
Arunachal Pradesh,17.07,5.11,18.42
Assam,4.69,7.24,NaN
Bihar,NaN,NaN,NaN
Chandigarh,13.65,11.28,10.55
Chhattisgarh,NaN,NaN,2.76
Dadra & Nagar Haveli,9.65,6.24,9.47
Daman & Diu,1.26,9.86,40.48
Delhi,14.47,16.25,17.32
Goa,11.26,13.36,13.91
Gujarat,0.46,7.83,7.04
Haryana,NaN,2.18,5.75
Himachal Pradesh,9.02,7.07,7.41
Jammu And Kashmir,10.66,7.64,12.65
Jharkhand,NaN,NaN,3.41
Karnataka,15.33,NaN,1.96
Kerala,NaN,6.4,0.47
Lakshadweep,6.59,2.82,3.12
Madhya Pradesh,NaN,1.55,NaN
Maharashtra,3.2,3.34,1.83
Manipur,7.93,3.2,NaN
Meghalaya,NaN,NaN,NaN
Mizoram,NaN,NaN,6.91
Nagaland,18.29,14.19,6.97
Odisha,NaN,NaN,NaN
Puducherry,5.25,11.16,4.5
Punjab,8.28,5.81,5.83
Rajasthan,NaN,NaN,NaN
Sikkim,8.1,12.91,11.76
Tamil Nadu,1.87,4.44,3.41
Telangana,NaN,13.43,0.77
Tripura,8.87,9.11,8.93
Uttar Pradesh,NaN,NaN,2.1
Uttarakhand,1.59,NaN,3.01
West Bengal,8.13,7.9,8.11
