Category,2012-13,2013-14,2014-15
All India,4.67,4.34,4.13
Andaman & Nicobar Islands,0.68,1.21,0.51
Andhra Pradesh,3.18,4.35,6.72
Arunachal Pradesh,10.89,15.16,10.82
Assam,6.24,7.44,15.36
Bihar,NaN,2.09,NaN
Chandigarh,NaN,NaN,NaN
Chhattisgarh,4.14,1.42,2.91
Dadra & Nagar Haveli,NaN,1.57,1.47
Daman & Diu,NaN,0.85,1.11
Delhi,NaN,NaN,NaN
Goa,NaN,0.2,0.73
Gujarat,0.74,0.76,0.89
Haryana,1.29,0.41,5.61
Himachal Pradesh,0.45,0.46,0.64
Jammu And Kashmir,6.3,5.46,6.79
Jharkhand,7.21,6.41,5.48
Karnataka,2.97,2.32,2.02
Kerala,NaN,NaN,NaN
Lakshadweep,2.5,NaN,NaN
Madhya Pradesh,6.11,10.14,6.59
Maharashtra,0.97,0.55,1.26
Manipur,9.86,18,9.66
Meghalaya,10.14,10.34,9.46
Mizoram,24.11,12.96,10.1
Nagaland,7.07,19.41,5.61
Odisha,3.56,2.94,2.86
Puducherry,0.34,0.66,0.37
Punjab,1.99,1.29,3.05
Rajasthan,7.97,8.39,5.02
Sikkim,3.6,4.57,2.27
Tamil Nadu,4.06,0.46,NaN
Telangana,NaN,5.81,2.08
Tripura,2.22,3.58,1.28
Uttar Pradesh,10.28,7.08,8.58
Uttarakhand,1.16,3.07,4.04
West Bengal,6.3,2.91,1.47
