Category,2012-13,2013-14,2014-15
All India,14.54,17.86,17.06
Andaman & Nicobar Islands,5.56,7.2,9.87
Andhra Pradesh,12.72,12.65,15.71
Arunachal Pradesh,14.49,12.93,17.11
Assam,26.77,30.43,27.06
Bihar,30.14,25.33,25.9
Chandigarh,NaN,NaN,NaN
Chhattisgarh,14.86,23.41,21.26
Dadra & Nagar Haveli,24.41,28.59,16.77
Daman & Diu,11.52,19.86,32.27
Delhi,5.32,8.9,11.81
Goa,7.96,9.58,11.15
Gujarat,13.55,21.61,25.04
Haryana,8.98,12.51,15.89
Himachal Pradesh,8.37,9.09,6.07
Jammu And Kashmir,17.33,15.36,17.28
Jharkhand,18.5,23.15,24
Karnataka,39.92,27.57,26.18
Kerala,9.45,14.46,12.32
Lakshadweep,7.68,8.03,6.76
Madhya Pradesh,13.63,26.47,24.77
Maharashtra,16.2,14.47,12.87
Manipur,9.75,13.81,14.38
Meghalaya,26.03,24.75,20.52
Mizoram,21.42,18.7,21.88
Nagaland,26.51,35.11,18.23
Odisha,49.86,49.48,29.56
Puducherry,15.21,14.24,12.19
Punjab,9.8,8.83,8.86
Rajasthan,13.65,18.77,13.48
Sikkim,9.23,12.89,15.89
Tamil Nadu,10.2,12.2,8.1
Telangana,NaN,17.43,15.53
Tripura,25.5,25.09,28.42
Uttar Pradesh,NaN,7.3,10.22
Uttarakhand,9.68,8.7,10.4
West Bengal,17.3,18.34,17.8
