Category,2013-14,2014-15,2015-16
All India,95.4,96.12,96.81
Andaman & Nicobar Islands,98.69,99.52,100
Andhra Pradesh,90.35,93.74,95.37
Arunachal Pradesh,79.79,80.64,81.47
Assam,80.3,83.36,86.21
Bihar,92.53,92.74,94.43
Chandigarh,100,100,100
Chhattisgarh,95.47,97.03,99.06
Dadra & Nagar Haveli,100,100,100
Daman & Diu,100,100,100
Delhi,100,100,100
Goa,98.61,99.23,100
Gujarat,99.97,99.88,99.95
Haryana,99.87,99.75,99.91
Himachal Pradesh,99.06,99.08,99.86
Jammu And Kashmir,89.95,90.82,92.35
Jharkhand,91.35,91.93,93.6
Karnataka,99.54,99.8,99.91
Kerala,99.4,99.56,99.68
Lakshadweep,100,100,100
Madhya Pradesh,96.13,96.23,96.37
Maharashtra,99.31,99.64,99.74
Manipur,89.09,88.58,99.64
Meghalaya,61.76,63.74,63.81
Mizoram,93.39,92.23,93.1
Nagaland,72.33,78.18,82.06
Odisha,96.85,98.03,99.39
Puducherry,100,99.73,100
Punjab,99.77,99.97,99.98
Rajasthan,96.31,97.08,96.84
Sikkim,97.18,97.17,98.51
Tamil Nadu,100,99.81,99.96
Telangana,NaN,93.6,94
Tripura,84.48,88.98,89.84
Uttar Pradesh,98.17,98.57,98.73
Uttarakhand,95.72,95.14,96.43
West Bengal,97.75,97.93,98.42
