Category,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
All India,17.9,19.4,20.1,22,23.2,23.5
Andaman & Nicobar Islands,13.4,13.8,22.7,27.1,24.6,24.7
Andhra Pradesh,24.4,26.4,23.6,26.7,27.3,26.9
Arunachal Pradesh,19.5,20.2,19.8,26.6,27.9,28.5
Assam,13.4,14.8,13.7,15.2,14.3,14.7
Bihar,9.1,10.8,11.6,11.5,12.4,12.6
Chandigarh,40.4,54.4,58.3,65.6,66.4,70.4
Chhatisgarh,11.4,10.1,11.7,13.1,14,14.6
Dadra & Nagar Haveli,3.9,6.4,7.1,8.3,9.5,11.3
Daman & Diu,5.6,6.2,6.9,7.9,9.5,9.2
Delhi,29.8,39,40.8,44.6,45.4,48.2
Goa,35.8,25.9,31,31.8,30.7,30.9
Gujarat,18.8,14.7,16.2,17.2,17.5,18.3
Haryana,20.7,27.7,26.6,25.9,27.5,26.4
Himachal Pradesh,26,25.1,26.3,28.8,33.3,35.5
Jammu and Kashmir,16.7,24,27.1,26.7,25.5,26.2
Jharkhand,7.5,9.5,12,12.5,14.8,14.8
Karnataka,24.3,22.7,24.5,25.6,26,25.9
Kerala,25.1,25.6,25.8,28.7,33.3,35
Lakshadweep,0,17.5,17.7,18,6.2,10.2
Madhya Pradesh,11.9,14.6,15.2,17.3,17.3,17.9
Maharashtra,24.2,24.3,20.6,23.9,25.6,27.6
Manipur,33.3,29.9,29,37.6,34.8,33.1
Meghalaya,19.8,18.5,19.7,18.9,21.2,21.1
Mizoram,21.1,18.3,22,22.7,23,23
Nagaland,16.9,13.4,12.8,13.9,16.1,15.6
Odisha,14.1,15,14.1,14.8,15.9,17.8
Puducherry,29.9,36.3,41.8,44.3,44.2,42.1
Punjab,14.5,23.6,25.6,27.4,28.4,28.5
Rajasthan,15.2,15.5,14.8,17.8,17.9,18.5
Sikkim,22.2,27.4,26.9,29.3,32.4,38.5
Tamil Nadu,29.1,36.8,38.7,40.4,43.4,42.4
Telangana,0,0,29.3,32.4,33,33.4
Tripura,11,10.2,11.7,12.9,13.5,14
Uttar Pradesh,17.4,17.2,20.4,23,25.5,24.9
Uttrakhand,29.6,32.3,34,34.9,32.8,32.9
West Bengal,10.9,11.8,13.2,14.4,15.8,16.2
