Category,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
All India,20.8,22.1,22.7,23.9,25.3,25.4
Andaman & Nicobar Islands,9.6,11,17.8,24.1,21.9,22.3
Andhra Pradesh,32.1,33.3,31,35,35.2,34.7
Arunachal Pradesh,33.6,22.5,18.3,25.7,28.6,28.8
Assam,13.3,14.6,14,16.5,15.4,16.2
Bihar,11.8,14,14.4,14.3,15.2,15.8
Chandigarh,42.2,33.2,51.8,48.7,48.6,48.4
Chhatisgarh,15.8,11,13.2,14.9,15.3,15.7
Dadra & Nagar Haveli,3.5,6.4,5.7,6.9,7.7,7.8
Daman & Diu,2.7,3,3.3,3.7,4.5,4.6
Delhi,35,38.9,38.7,41.9,42,43
Goa,31,21.5,19.8,21.8,25.2,25
Gujarat,23.5,18.1,20.2,21.5,22.2,22.9
Haryana,27.2,28.3,28.8,28.8,27.6,25.9
Himachal Pradesh,25.9,24.6,25.3,29.8,29.2,29.6
Jammu and Kashmir,17,21.8,24.2,24.5,24.1,23.5
Jharkhand,8.8,10.2,12.2,13.8,16,16.2
Karnataka,26.6,24.9,26.1,26.7,26.7,26.3
Kerala,18.8,17.8,18.5,21.1,24.1,26.6
Lakshadweep,0,6.2,6.3,6.4,2,4.1
Madhya Pradesh,15.1,22,22.7,21.6,21.6,21.1
Maharashtra,30.7,28.1,25,28.3,30,31.9
Manipur,38.5,30.4,30.9,37.9,37.1,35.3
Meghalaya,15.3,16.3,18.6,19.7,19.8,20.4
Mizoram,22,19.6,22.4,23.7,23.5,25.2
Nagaland,25.8,18.2,16.6,16.9,15.2,14.2
Odisha,18.1,18.3,18.6,18,19.6,21.5
Puducherry,32.6,40.4,46.6,51.1,47.7,44.2
Punjab,23.6,22.4,22.5,23.6,26,25.8
Rajasthan,20.9,20.6,21.4,21.5,21.9,21.8
Sikkim,26,28.9,21.8,26.4,28.4,36.7
Tamil Nadu,36.5,43.2,45.4,45.6,47,46.3
Telangana,0,0,36.9,38.6,39.2,39.3
Tripura,16,14.6,16.6,17.9,20.2,19.9
Uttar Pradesh,15.2,17.5,18.8,20.4,24.5,24.2
Uttrakhand,26.1,30.1,32.6,32.7,34.9,33.6
West Bengal,13.8,15.4,17.1,18.2,19.1,19.1
