Category,2013-14,2015-16,2014-15
All India,101.36,99.21,100.08
Andaman & Nicobar Islands,93.93,88.93,90.92
Andhra Pradesh,96.74,84.48,88.21
Arunachal Pradesh,128.46,126.76,128.13
Assam,113.43,106.11,114.96
Bihar,97.96,107.67,101.09
Chandigarh,91.85,81.44,87.11
Chhattisgarh,103.99,100.02,103.08
Dadra & Nagar Haveli,85.78,82.53,82.18
Daman & Diu,88.69,82.03,85.47
Delhi,110.67,110.71,111.75
Goa,105.14,102.57,103.97
Gujarat,101.13,97.24,98.72
Haryana,98.39,91.41,97.57
Himachal Pradesh,100.49,98.8,99.43
Jammu And Kashmir,84.9,85.98,85.97
Jharkhand,110.23,109.22,108.4
Karnataka,100.96,102.98,101.86
Kerala,95.42,95.44,95.11
Lakshadweep,80.59,73.8,76.45
Madhya Pradesh,111.49,94.47,101.11
Maharashtra,99.81,97.74,98.95
Manipur,149.15,130.85,134.37
Meghalaya,135.35,140.9,138.4
Mizoram,125.96,122.99,122.66
Nagaland,118.78,99.5,100.57
Odisha,105.84,103.73,105.53
Puducherry,92.29,88.16,84.79
Punjab,105.61,101.7,105.11
Rajasthan,101.53,100.43,98.64
Sikkim,124.42,102.87,112.57
Tamil Nadu,102.56,103.89,103.11
Telangana,NaN,103.02,103.57
Tripura,113.31,107.96,109.98
Uttar Pradesh,96.41,92.15,95
Uttarakhand,99.29,100.6,100.54
West Bengal,104,103.68,102.33
