Category,2013-14,2015-16,2014-15
All India,76.64,80.01,78.51
Andaman & Nicobar Islands,100.16,86.69,92.88
Andhra Pradesh,75.2,75.51,72.4
Arunachal Pradesh,86.65,89.63,91.62
Assam,71.21,77.59,74.78
Bihar,60.08,78.37,69.09
Chandigarh,92.11,87.19,89.69
Chhattisgarh,97.99,91.93,101.82
Dadra & Nagar Haveli,83.66,88.57,88.07
Daman & Diu,73.88,72.97,74.85
Delhi,102.4,106.81,103.56
Goa,106.66,104.16,113.63
Gujarat,74.5,74.13,74.34
Haryana,86.21,84.22,84.25
Himachal Pradesh,120.31,107.08,115.87
Jammu And Kashmir,65.97,66.81,66.29
Jharkhand,70.14,73.65,71.86
Karnataka,77.49,83.22,81.8
Kerala,102.51,102.44,103.24
Lakshadweep,127.61,103.66,123.01
Madhya Pradesh,83.35,80.49,80.18
Maharashtra,85.58,89.95,89.31
Manipur,84.3,93.07,90.62
Meghalaya,72.8,87.27,81.05
Mizoram,106.62,109.02,108.15
Nagaland,68.24,71.62,64.53
Odisha,74.79,79.61,77.06
Puducherry,101.01,95.66,88.95
Punjab,86.39,87.06,85.59
Rajasthan,78.68,76.06,76.16
Sikkim,98.37,119.78,111.26
Tamil Nadu,92.5,93.92,91.89
Telangana,NaN,82.53,82.25
Tripura,117.01,118.49,120.57
Uttar Pradesh,66.18,67.75,67.79
Uttarakhand,85.72,88.18,90.35
West Bengal,74.82,83.56,78.17
