Category,2013-14,2015-16,2014-15
All India,89.33,92.81,91.24
Andaman & Nicobar Islands,91.83,84.14,87.62
Andhra Pradesh,83.57,81.33,79.47
Arunachal Pradesh,113.94,130.13,122.53
Assam,93.13,93.05,95.86
Bihar,87.24,107.89,98.07
Chandigarh,101.27,95.53,98.33
Chhattisgarh,100.72,102.33,101.23
Dadra & Nagar Haveli,96.22,90.96,92.91
Daman & Diu,86.97,79.15,83.72
Delhi,122.91,128.12,125.24
Goa,105.76,98.74,100.19
Gujarat,90.86,95.73,93.56
Haryana,94.17,92.39,96.03
Himachal Pradesh,101.79,104.36,103.09
Jammu And Kashmir,72.43,70.2,70.89
Jharkhand,95.25,102.73,99.97
Karnataka,91.81,93.37,93.18
Kerala,98.34,95.39,96.89
Lakshadweep,97.09,83.26,89.96
Madhya Pradesh,100.67,94.02,96.63
Maharashtra,96.69,99.24,98.82
Manipur,113.31,129.89,118.77
Meghalaya,110.97,135.89,122.03
Mizoram,118.72,134.78,126.83
Nagaland,102.68,102.28,97.67
Odisha,86.2,94.26,90.13
Puducherry,95.08,90.18,87.04
Punjab,95.34,98.38,96.77
Rajasthan,84.58,91.34,85.79
Sikkim,138.84,150.61,140.66
Tamil Nadu,98.27,94.03,94.58
Telangana,NaN,89.41,90.89
Tripura,114.03,127.97,120.54
Uttar Pradesh,73.17,75.08,74.54
Uttarakhand,86.89,86.52,85.53
West Bengal,99.64,105,103.17
