Category,2013-14,2015-16,2014-15
All India,52.21,56.16,54.21
Andaman & Nicobar Islands,101.28,74.62,95.65
Andhra Pradesh,60.3,60.16,51.63
Arunachal Pradesh,65.27,61.81,68.71
Assam,32.94,38.81,33.97
Bihar,23.7,35.62,31.79
Chandigarh,91.49,83.28,90.57
Chhattisgarh,57.23,54,63.34
Dadra & Nagar Haveli,39.64,48.49,37.7
Daman & Diu,44.36,21.54,37.48
Delhi,100.42,77.9,91.63
Goa,70.24,75.84,77.88
Gujarat,48.51,43.43,44.93
Haryana,69.55,59.59,65.78
Himachal Pradesh,96.13,95.53,100.58
Jammu And Kashmir,51.33,58.6,59.33
Jharkhand,43.96,48.32,48.69
Karnataka,18.39,39.86,32.96
Kerala,87.58,77.56,76.87
Lakshadweep,94.66,98.16,85.99
Madhya Pradesh,44.76,45.25,45.48
Maharashtra,58.77,67.81,62.2
Manipur,62.18,67.95,65.39
Meghalaya,22.94,43.35,36.03
Mizoram,59.88,55.68,62.11
Nagaland,32.98,36.43,33.61
Odisha,NaN,36.54,NaN
Puducherry,73.5,70.87,74.8
Punjab,71.79,70.19,69.39
Rajasthan,53.03,59.31,56.46
Sikkim,62.62,68.23,68.55
Tamil Nadu,75.87,82.03,77.52
Telangana,NaN,61.32,58.33
Tripura,40.99,43.46,43.4
Uttar Pradesh,61.27,60.78,63.75
Uttarakhand,75.83,76.31,80.36
West Bengal,48.13,51.54,49.95
