Category,2001,2011
All India,58.7,67.8
Andhra Pradesh,54.5,60.4
Arunachal Pradesh,47.8,59.9
Assam,59.7,69.3
Bihar,43.9,59.8
Chhattisgarh,60.5,66
Goa,79.7,86.6
Gujarat,61.3,71.7
Haryana,63.2,71.4
Himachal Pradesh,75.1,81.9
Jammu & Kashmir,49.8,63.2
Jharkhand,45.7,61.1
Karnataka,59.3,68.7
Kerala,90,93
Madhya Pradesh,57.8,63.9
Maharashtra,70.4,77
Manipur,67.3,73.4
Meghalaya,56.3,69.9
Mizoram,81.3,84.1
Nagaland,62.8,75.3
Odisha,59.8,70.2
Punjab,64.7,71.4
Rajasthan,55.3,61.4
Sikkim,66.8,78.9
Tamil Nadu,66.2,73.5
Telangana,0,0
Tripura,69.7,84.9
Uttar Pradesh,52.5,65.5
Uttarakhand,68.1,76.3
West Bengal,63.4,72.1
A & N Islands,78.7,84.5
Chandigarh,75.6,80.7
D & N Haveli,49.3,64.1
Daman & Diu,75.8,81.4
Lakshadweep,85,91.6
NCT of Delhi,78.1,81.9
Puducherry,74,80.1
