Category,2001,2011
All India,64.8,73
Andhra Pradesh,60.5,67
Arunachal Pradesh,54.3,65.4
Assam,63.3,72.2
Bihar,47,61.8
Chhattisgarh,64.7,70.3
Goa,82,88.7
Gujarat,69.1,78
Haryana,67.9,75.6
Himachal Pradesh,76.5,82.8
Jammu & Kashmir,55.5,67.2
Jharkhand,53.6,66.4
Karnataka,66.6,75.4
Kerala,90.9,94
Madhya Pradesh,63.7,69.3
Maharashtra,76.9,82.3
Manipur,70.5,76.9
Meghalaya,62.6,74.4
Mizoram,88.8,91.3
Nagaland,66.6,79.6
Odisha,63.1,72.9
Punjab,69.7,75.8
Rajasthan,60.4,66.1
Sikkim,68.8,81.4
Tamil Nadu,73.5,80.1
Telangana,NaN,NaN
Tripura,73.2,87.2
Uttar Pradesh,56.3,67.7
Uttarakhand,71.6,78.8
West Bengal,68.6,76.3
A & N Islands,81.3,86.6
Chandigarh,81.9,86
D & N Haveli,57.6,76.2
Daman & Diu,78.2,87.1
Lakshadweep,86.7,91.8
NCT of Delhi,81.7,86.2
Puducherry,81.2,85.8
