Category,2001,2011
All India,79.9,84.1
Andhra Pradesh,76.1,80.1
Arunachal Pradesh,78.3,82.9
Assam,85.3,88.5
Bihar,71.9,76.9
Chhattisgarh,80.6,84
Goa,84.4,90
Gujarat,81.8,86.3
Haryana,79.2,83.1
Himachal Pradesh,88.9,91.1
Jammu & Kashmir,71.9,77.1
Jharkhand,79.1,82.3
Karnataka,80.6,85.8
Kerala,93.2,95.1
Madhya Pradesh,79.4,82.8
Maharashtra,85.5,88.7
Manipur,79.3,85.4
Meghalaya,86.3,90.8
Mizoram,96.1,97.6
Nagaland,84.7,89.6
Odisha,80.8,85.7
Punjab,79.1,83.2
Rajasthan,76.2,79.7
Sikkim,83.9,88.7
Tamil Nadu,82.5,87
Telangana,0,0
Tripura,89.2,93.5
Uttar Pradesh,69.8,75.1
Uttarakhand,81.4,84.5
West Bengal,81.2,84.8
A & N Islands,86.6,90.1
Chandigarh,82.6,86.2
D & N Haveli,84.4,89.8
Daman & Diu,82.3,89
Lakshadweep,88.6,91.9
NCT of Delhi,81.9,86.3
Puducherry,84.8,88.5
