Category,2013-14,2014-15,2015-16
All India,86.56,88.62,97.02
Andaman & Nicobar Islands,94.52,100,100
Andhra Pradesh,56.88,65.34,99.69
Arunachal Pradesh,48.73,95.97,95.65
Assam,60.17,54.8,82.8
Bihar,73.42,73.92,89.16
Chandigarh,100,100,100
Chhattisgarh,82.85,76.06,98.5
Dadra & Nagar Haveli,85.53,95.34,100
Daman & Diu,100,100,100
Delhi,100,100,100
Goa,87.07,90.85,100
Gujarat,97.77,98.63,99.87
Haryana,96.53,95.67,99.49
Himachal Pradesh,94.48,95.63,99.7
Jammu And Kashmir,69.56,71.54,92.14
Jharkhand,85.67,86.15,96.49
Karnataka,99.65,99.48,99.3
Kerala,96.85,97,98.16
Lakshadweep,100,100,100
Madhya Pradesh,92.64,89.68,96.2
Maharashtra,98.3,99.15,99.21
Manipur,95.3,94.93,98.67
Meghalaya,53.71,64.48,86.4
Mizoram,73.27,97.34,97.96
Nagaland,87.88,94.66,98.69
Odisha,76.61,82.45,93.75
Puducherry,99.85,99.86,100
Punjab,97.04,97.35,99.6
Rajasthan,96.03,96.91,99.19
Sikkim,97.01,98.19,99.84
Tamil Nadu,90.93,99.29,99.73
Telangana,NaN,73.39,100
Tripura,91.15,99.44,99.69
Uttar Pradesh,97.25,98.5,99.74
Uttarakhand,94.71,96.46,97.43
West Bengal,81.42,89.93,97.7
