Category,2013-14,2014-15,2015-16
All India,91.23,93.08,97.52
Andaman & Nicobar Islands,93.44,100,100
Andhra Pradesh,81.31,98.07,99.72
Arunachal Pradesh,76.9,96.89,96.56
Assam,75.28,74.86,83.94
Bihar,75.41,76.3,90.05
Chandigarh,100,100,100
Chhattisgarh,94.1,92,99.16
Dadra & Nagar Haveli,94.36,99.13,100
Daman & Diu,100,100,100
Delhi,100,100,100
Goa,98.31,99.42,100
Gujarat,99.78,99.79,99.95
Haryana,98.1,98.05,99.6
Himachal Pradesh,97.32,97.67,99.82
Jammu And Kashmir,76.69,77.93,95
Jharkhand,87.68,87.32,96.75
Karnataka,99.88,99.6,99.59
Kerala,97.39,97.79,99.15
Lakshadweep,100,100,100
Madhya Pradesh,93.02,89.59,96.65
Maharashtra,98.46,99.29,99.41
Manipur,98.17,95.51,98.74
Meghalaya,50.95,63.92,84.29
Mizoram,99.62,99.82,99.27
Nagaland,97.08,99.37,99.89
Odisha,86,88.34,97.06
Puducherry,100,100,100
Punjab,97.81,99.08,99.83
Rajasthan,97.87,98.03,99.67
Sikkim,99.25,98.91,99.83
Tamil Nadu,96.91,99.71,99.9
Telangana,NaN,92.1,100
Tripura,89.13,99.88,99.86
Uttar Pradesh,98.66,98.72,99.8
Uttarakhand,96.06,95.97,97.18
West Bengal,82.08,92.42,98.29
