Category,2013-14,2014-15,2015-16
All India,24.08,26.42,27.31
Andaman & Nicobar Islands,53.06,57.25,57
Andhra Pradesh,29.57,28.06,30.59
Arunachal Pradesh,24.28,24.68,24.36
Assam,8.85,9.83,10.76
Bihar,5.47,8.19,9.37
Chandigarh,95.83,95.43,94.53
Chhatisgarh,9.8,11.88,12.7
Dadra & Nagar Haveli,38.19,40.12,42.65
Daman & Diu,61.11,66.21,64.14
Delhi,81.56,81,83.89
Goa,40.63,43.51,44.72
Gujarat,72.08,75.22,75.5
Haryana,44.12,46.04,46.93
Himachal Pradesh,22.49,23.85,26
Jammu and Kashmir,16.73,17.56,18.32
Jharkhand,8.94,9.71,10.28
Karnataka,35.01,38.74,39.53
Kerala,92.63,93.77,94.5
Lakshadweep,100,100,100
Madhya Pradesh,13.03,14.58,15.17
Maharashtra,52.79,57.07,59.65
Manipur,25.57,25.23,27.16
Meghalaya,8.98,10.64,11.74
Mizoram,27.76,31.9,32.81
Nagaland,34.96,35.68,40.13
Odisha,10.58,13.72,15.03
Puducherry,97.62,97.81,98.77
Punjab,51.97,52.48,52.83
Rajasthan,23.47,28.6,30.11
Sikkim,53.33,58.56,60.36
Tamil Nadu,54.14,57.28,57.62
Telangana,NaN,37.9,35.51
Tripura,11.4,15.11,15.65
Uttar Pradesh,11.12,12.72,13.31
Uttrakhand,31.97,32.97,33.54
West Bengal,10.77,12.13,12.67
