Category,2013-14,2014-15,2015-16
All India,56.78,60.01,62.81
Andaman & Nicobar Islands,88.86,88.89,90.1
Andhra Pradesh,90.34,92.76,93.5
Arunachal Pradesh,36.35,38.6,39.54
Assam,19.39,22.4,25.55
Bihar,9.96,25.22,37.78
Chandigarh,100,100,100
Chhattisgarh,57.28,66.88,72.66
Dadra & Nagar Haveli,96.79,98.55,100
Daman & Diu,100,100,100
Delhi,100,100,100
Goa,98.17,98.72,99.87
Gujarat,99.72,99.72,99.73
Haryana,98.89,98.74,98.97
Himachal Pradesh,94.9,94.22,96.24
Jammu And Kashmir,23.47,26.39,30.97
Jharkhand,16.35,17.98,19.45
Karnataka,96.78,97.64,98.12
Kerala,96.08,97.01,97.46
Lakshadweep,100,100,100
Madhya Pradesh,28.27,28.29,28.8
Maharashtra,92.75,93.93,93.94
Manipur,30.97,30.66,39.27
Meghalaya,24.49,26.72,28.54
Mizoram,73.79,74.56,76.86
Nagaland,39.06,40.94,51.7
Odisha,27.88,29.73,33.03
Puducherry,100,100,100
Punjab,99.86,99.88,99.94
Rajasthan,52.06,55.28,56.68
Sikkim,69.3,70.72,83.97
Tamil Nadu,97.69,98.51,99.05
Telangana,NaN,91.05,91.58
Tripura,24.94,28.58,29.77
Uttar Pradesh,52.19,53.59,54.26
Uttarakhand,74.21,76.95,78.64
West Bengal,42.76,56.96,74.88
