Category,2009-10,2011-12
Andhra Pradesh,20.7,19.3
Arunachal Pradesh,9.4,6.9
Assam,8.7,13.2
Bihar,16.6,16
Chhattisgarh,11.3,12.7
Delhi,32.3,26
Goa,41.6,30.6
Gujarat,19.5,26.4
Haryana,27.2,27.2
Himachal Pradesh,20.7,22.6
Jammu & Kashmir,21.4,29.9
Jharkhand,31.4,28
Karnataka,18.3,19.1
Kerala,29.5,31.8
Madhya Pradesh,15.5,20.7
Maharashtra,17.1,19.1
Manipur,21.8,30.3
Meghalaya,12.2,11.8
Mizoram,9.5,10.6
Nagaland,6.6,7.6
Odisha,20.1,22.7
Punjab,26.2,31.5
Rajasthan,27.1,29.7
Sikkim,17.4,12.6
Tamil Nadu,27.9,33.9
Tripura,42.4,46.9
Uttarakhand,20.3,22.1
Uttar Pradesh,23,26.3
West Bengal,25.9,31.3
A & N Islands,22.6,23.4
Chandigarh,22.4,22.7
Dadra & Nagar Haveli,36.7,55.2
Daman & Diu,29,64.7
Lakshadweep,21.1,26.6
Puducherry,31.6,33.6
All India,21.5,24.3
