Category,2009-10,2011-12
Andhra Pradesh,24.4,27.7
Arunachal Pradesh,24.9,25
Assam,27.2,30.7
Bihar,21.6,21.6
Chhattisgarh,14.6,14.5
Delhi,67.6,73.8
Goa,40.7,65.5
Gujarat,27,24.8
Haryana,28.3,29.4
Himachal Pradesh,19.6,18.9
Jammu & Kashmir,28.6,27.6
Jharkhand,22.2,21.6
Karnataka,25.9,31
Kerala,41,42.6
Madhya Pradesh,15.6,20.3
Maharashtra,30.5,31.9
Manipur,32.5,30
Meghalaya,25.6,31.6
Mizoram,27.4,34.1
Nagaland,29.8,31.9
Odisha,19,21.6
Punjab,29.5,32
Rajasthan,20.1,19.9
Sikkim,34.4,25.9
Tamil Nadu,27.6,31
Tripura,31.1,26
Uttarakhand,23.4,28.9
Uttar Pradesh,20.9,21.3
West Bengal,30.4,29.4
A & N Islands,49.6,50.2
Chandigarh,75.3,76.6
Dadra & Nagar Haveli,20,23.6
Daman & Diu,22.2,25.6
Lakshadweep,41.8,47.6
Puducherry,49.2,50.2
All India,25.4,26.9
