States/UTs,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
All INDIA,65569,65569,66590,66590,66754,70548,70934,70548,76818,79116,91287,97991
Andaman & Nicobar Islands,300,300,300,300,300,300,300,300,300,300,300,331
Andhra Pradesh,4472,4472,4472,4472,4472,4537,4537,4537,4537,5022,6590,4670
Arunachal Pradesh,392,392,392,392,392,1992,1992,1992,2027,2027,2027,2513
Assam,2836,2836,2836,2836,2836,2836,2836,2836,2940,2940,3634,3784
Bihar,3537,3537,3642,3642,3642,3642,3642,3642,4105,4168,4467,4701
Chandigarh,24,24,24,24,24,24,24,24,24,24,24,15
Chhattisgarh,2184,2184,2184,2184,2184,2184,2184,2184,2289,2289,3031,3079
Dadra & Nagar Haveli,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,31,31
Daman & Diu,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22,22
Delhi,72,72,72,72,72,72,80,72,80,80,80,80
Goa,269,269,269,269,269,269,269,269,269,269,269,262
Gujarat,2871,2871,3245,3245,3245,3245,3245,3245,4032,3828,4694,4971
Haryana,1468,1468,1512,1512,1512,1512,1518,1512,1633,1633,2050,2307
Himachal Pradesh,1208,1208,1208,1208,1208,1409,1409,1409,1506,1506,2196,2466
Jammu & Kashmir,823,823,1245,1245,1245,1245,1245,1245,1245,1695,2319,2593
Jharkhand,1805,1805,1805,1805,1805,1805,1805,1805,2170,2374,2968,2632
Karnataka,3843,3843,3843,3843,3843,4396,4396,4396,4396,4642,6177,6432
Kerala,1440,1440,1440,1440,1457,1457,1457,1457,1457,1457,1700,1811
Lakshadweep,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Madhya Pradesh,5200,5200,4670,4670,4670,4670,5027,4670,5064,5116,5116,5184
Maharashtra,4176,4176,4176,4176,4176,4176,4191,4176,4257,4498,6249,7048
Manipur,959,959,959,959,959,959,959,959,1317,1317,1452,1746
Meghalaya,810,810,810,810,810,810,810,810,1171,1171,1171,1204
Mizoram,927,927,927,927,927,927,927,927,1027,1027,1222,1381
Nagaland,494,494,494,494,494,494,494,494,494,494,741,1080
Odisha,3704,3704,3704,3704,3704,3704,3704,3704,3704,4416,4550,4645
Puducherry,53,53,53,53,53,53,53,53,53,53,53,64
Punjab,1557,1557,1557,1557,1557,1557,1557,1557,1557,1557,1699,2239
Rajasthan,5585,5585,5585,5585,5585,5585,5585,5585,7130,7180,7646,7886
Sikkim,62,62,62,62,62,62,62,62,149,149,149,309
Tamil Nadu,4183,4183,4462,4462,4462,4832,4832,4832,4943,4943,4975,5006
Telangana,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2687
Tripura,400,400,400,400,400,400,400,400,400,400,509,577
Uttar Pradesh,5599,5599,5874,5874,5874,6774,6774,6774,7818,7818,7986,8483
Uttarakhand,1991,1991,1991,1991,1991,2042,2042,2042,2042,2042,2282,2842
West Bengal,2325,2325,2377,2377,2524,2578,2578,2578,2681,2681,2908,2910
